,Model,F1,Recall,Precision,Accuracy
0,decision_tree,0.5639605432109752,0.4764320154291225,0.695868255229062,0.8498666666666667
1,rf,0.5106382978723404,0.3821656050955414,0.7692307692307693,0.8466666666666667
2,xgb,0.5843437953759352,0.48887603128683166,0.7284390456207094,0.8586666666666666
3,adb,0.5773078039666435,0.4770877531340405,0.7354832949863068,0.8578666666666667
